[     397ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:54068/favicon.ico:0
[23760258ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error during WebSocket handshake: net::ERR_CONNECTION_RESET @ http://localhost:54068/:145
[23763599ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[23767942ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[23774265ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[23784602ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[23802950ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[23835279ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[23867637ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[23899965ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[23932307ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[23964651ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[23996995ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24029337ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24061695ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24094040ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24126382ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24158711ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24191070ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24223414ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24255740ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24288083ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24320427ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24352770ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24385097ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24417440ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24449783ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24482126ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24514485ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24546828ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24579203ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24611562ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24643910ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24676267ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24708629ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24740974ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24773318ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24805677ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24838036ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24870381ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[24902723ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
